adm_id,year,yield,stage2_tabpfn_base_prediction,stage2_tabpfn_base_prediction_variance,stage2_tabpfn_base_prediction_std,stage2_tabpfn_base_n_repeats,stage2_tabpfn_base_split,stage2_tabpfn_cn_finetuned_prediction,stage2_tabpfn_cn_finetuned_prediction_variance,stage2_tabpfn_cn_finetuned_prediction_std,stage2_tabpfn_cn_finetuned_n_repeats,stage2_tabpfn_cn_finetuned_split
CN011,2022,6.557,6.712622120000001,4.746123937699651e-05,0.006889211811012673,5,test,6.692989020000001,3.019103916199869e-05,0.005494637309413487,5,test
CN012,2022,6.613,5.96531658,0.0015716881998370051,0.039644522948788334,5,test,5.95737512,0.001139148002746991,0.03375126668359265,5,test
CN013,2022,6.061,5.80206826,0.00010805906258800238,0.010395146107102217,5,test,5.770514159999999,0.00012049956239299268,0.010977229267578987,5,test
CN014,2022,5.629,5.536568839999999,0.0001661245707679986,0.012888932103475392,5,test,5.51680416,0.000151970651547999,0.012327637711581201,5,test
CN015,2022,7.387,6.813540280000001,0.0012794455047469649,0.03576933749382234,5,test,6.77328612,0.0018169050963670126,0.04262516975176771,5,test
CN021,2022,7.104,6.90094382,0.00027447962652200084,0.0165674266716953,5,test,6.85684554,0.0002479966135330041,0.015747908227221927,5,test
CN022,2022,7.289,7.141972699999999,0.0010022451978199919,0.03165825639260621,5,test,7.0730952,0.0017566252432000109,0.0419121133230002,5,test
CN023,2022,6.764,5.72164964,0.0027826736789680184,0.052751053818554355,5,test,5.70213468,0.006787601664511959,0.08238690226311436,5,test
CN031,2022,6.344,6.6101902,0.0002740669257449987,0.016554966799876066,5,test,6.6112167600000005,0.0003505344984630019,0.018722566556511472,5,test
CN032,2022,5.976,5.68203326,0.0005431545911780008,0.023305677230623458,5,test,5.67194606,0.001062628373363,0.032597981124035884,5,test
CN033,2022,4.351,4.3728215200000005,7.400320242699996e-05,0.008602511402317346,5,test,4.38475772,9.049977230699504e-05,0.009513136827934046,5,test
CN034,2022,5.398,5.191924179999999,0.00045093615264699973,0.021235257301172494,5,test,5.21045766,0.0001857315427179974,0.013628336021613108,5,test
CN035,2022,4.505,4.1829054,0.00034259358634499646,0.018509283788007477,5,test,4.22654546,0.00015854292280800548,0.01259138287909654,5,test
CN036,2022,3.975,4.3278786799999995,8.678033154699666e-05,0.009315596145550572,5,test,4.33803416,7.7835290182999e-05,0.008822431081226932,5,test
CN037,2022,6.779,6.589953920000001,2.8207851777001853e-05,0.005311106455062057,5,test,6.5751516,4.585896940000332e-06,0.002141470742270445,5,test
CN041,2022,5.898,5.75532098,0.0004290716026520068,0.02071404360939715,5,test,5.7588458199999994,0.00034128269797201183,0.018473838203578914,5,test
CN042,2022,4.026,4.521350180000001,0.00033780315994700786,0.018379422187517428,5,test,4.54254756,0.000244819323368009,0.015646703274747976,5,test
CN043,2022,5.734,5.6366416,4.07524401450022e-05,0.006383763791447973,5,test,5.622566040000001,4.5436047822998786e-05,0.0067406266639681795,5,test
CN044,2022,4.807,4.5622919600000005,1.1720108957999745e-05,0.0034234644671735305,5,test,4.57769814,5.698310547999809e-06,0.0023871134342548133,5,test
CN045,2022,4.55,4.54641884,5.655123108000324e-06,0.002378050274489655,5,test,4.54938274,7.001765017998841e-06,0.0026460848470899116,5,test
CN046,2013,4.362,4.28147386,2.4690853597998792e-05,0.004968989192783457,5,train,4.30807526,3.171741965799629e-05,0.005631822054894516,5,train
CN050,2022,5.725,5.6863641000000005,1.3004551550000792e-05,0.003606182406645675,5,test,5.6713341999999995,1.664187927999875e-05,0.004079445952577231,5,test
CN051,2022,5.64,5.6855114,0.00020100587329999336,0.014177654012564751,5,test,5.67916022,9.476977419700245e-05,0.009734976846248914,5,test
CN052,2022,4.818,4.22780472,0.000248731569417003,0.015771225996003068,5,test,4.27448708,0.0001775456983370051,0.013324627512129752,5,test
CN053,2022,5.352,5.06496848,0.000333026534746988,0.018249014624000606,5,test,5.0796444,4.848000714500002e-05,0.006962758587298573,5,test
CN054,2022,6.221,5.38894218,0.0012922435215770077,0.0359477888273675,5,test,5.5022530199999995,0.0012860079725620123,0.035860953313625286,5,test
CN061,2022,5.19,4.80625502,0.001369567315257029,0.037007665628313126,5,test,4.83137198,0.0013645878007619888,0.036940327567064,5,test
CN062,2022,6.182,5.7656804,0.0006039089584650031,0.024574559171326005,5,test,5.72947306,0.0002988262755080084,0.01728659236252213,5,test
CN063,2022,6.542,6.68303868,0.0003412879706170026,0.01847398090875387,5,test,6.69791294,0.0005728830177080135,0.023934974779765562,5,test
CN064,2022,7.567,7.5953289999999996,0.00023925776938000812,0.01546795944460704,5,test,7.5786884,0.0002630000837999964,0.01621727732389122,5,test
CN065,2022,9.432,9.2547297,0.005162141922200072,0.07184804744876559,5,test,9.293179,0.00808237273100004,0.0899020173911578,5,test
