adm_id,awc,bulk_density,year,max_cum_gdd1,max_cum_gdd2,max_cum_gdd3,max_cum_gdd4,max_cum_gdd5,max_cum_gdd6,max_cum_gdd7,max_cum_gdd8,max_cum_gdd9,max_cum_prec1,max_cum_prec2,max_cum_prec3,max_cum_prec4,max_cum_prec5,max_cum_prec6,max_cum_prec7,max_cum_prec8,max_cum_prec9,mean_cum_cwb1,mean_cum_cwb2,mean_cum_cwb3,mean_cum_cwb4,mean_cum_cwb5,mean_cum_cwb6,mean_cum_cwb7,mean_cum_cwb8,mean_cum_cwb9,mean_prec1,mean_prec2,mean_prec3,mean_prec4,mean_prec5,mean_prec6,mean_prec7,mean_prec8,mean_prec9,mean_rad1,mean_rad2,mean_rad3,mean_rad4,mean_rad5,mean_rad6,mean_rad7,mean_rad8,mean_rad9,mean_tavg1,mean_tavg2,mean_tavg3,mean_tavg4,mean_tavg5,mean_tavg6,mean_tavg7,mean_tavg8,mean_tavg9,mean_tmax1,mean_tmax2,mean_tmax3,mean_tmax4,mean_tmax5,mean_tmax6,mean_tmax7,mean_tmax8,mean_tmax9,mean_tmin1,mean_tmin2,mean_tmin3,mean_tmin4,mean_tmin5,mean_tmin6,mean_tmin7,mean_tmin8,mean_tmin9,tmin<-2.5p1,tmin<-2.5p2,tmin<-2.5p3,tmin<-2.5p4,tmin<-2.5p5,tmin<-2.5p6,tmin<-2.5p7,tmin<-2.5p8,tmin<-2.5p9,tmax>35p1,tmax>35p2,tmax>35p3,tmax>35p4,tmax>35p5,tmax>35p6,tmax>35p7,tmax>35p8,tmax>35p9,prec<0p1,prec<0p2,prec<0p3,prec<0p4,prec<0p5,prec<0p6,prec<0p7,prec<0p8,prec<0p9,mean_cum_fpar2,mean_cum_fpar3,mean_cum_fpar4,mean_cum_fpar5,mean_cum_fpar6,mean_cum_fpar7,mean_cum_fpar8,mean_cum_fpar9,mean_cum_ndvi2,mean_cum_ndvi3,mean_cum_ndvi4,mean_cum_ndvi5,mean_cum_ndvi6,mean_cum_ndvi7,mean_cum_ndvi8,mean_cum_ndvi9,mean_ssm1,mean_ssm2,mean_ssm3,mean_ssm4,mean_ssm5,mean_ssm6,mean_ssm7,mean_ssm8,mean_ssm9,yield,stage2_tabpfn_base_prediction,stage2_tabpfn_base_prediction_variance,stage2_tabpfn_base_prediction_std,stage2_tabpfn_base_n_repeats,stage2_tabpfn_base_split,stage2_tabpfn_cn_finetuned_prediction,stage2_tabpfn_cn_finetuned_prediction_variance,stage2_tabpfn_cn_finetuned_prediction_std,stage2_tabpfn_cn_finetuned_n_repeats,stage2_tabpfn_cn_finetuned_split
MX01,13.644,1.583,2014,0.0,86.303,315.75100000000003,620.339,943.549,1260.945,1544.655,1725.365,0.0,0.0,0.11,7.965,11.652,97.704,225.644,344.238,408.553,0.0,0.0,-31.38792307692308,-145.90174193548387,-323.3432666666667,-482.9208387096774,-551.9857666666667,-539.3639677419354,-599.5486842105263,0.0,0.0,0.0084615384615384,0.2533870967741935,0.1229,2.775870967741936,4.264666666666667,3.825612903225806,3.385,0.0,0.0,22594532.0,25182299.29032258,26989540.266666666,25403429.41935484,24124182.366666667,24753661.80645161,24695417.684210528,0.0,0.0,16.638692307692306,17.401548387096774,20.152933333333333,20.426129032258064,20.579866666666664,19.151935483870968,19.511052631578945,0.0,0.0,24.96007692307692,25.576096774193548,28.0827,27.62925806451613,27.1203,25.569612903225806,26.27347368421053,0.0,0.0,8.30146153846154,9.368451612903227,11.709266666666668,13.564741935483871,15.0064,14.110483870967744,14.070736842105262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.258,82.79733333333333,157.13166666666666,227.10333333333327,317.3293333333333,451.7053333333333,585.8495,0.0,0.4589999999999999,1.353,2.334,3.28725,4.65,6.6537500000000005,8.2895,0.0,0.0,4.107384615384616,3.82016129032258,3.369866666666667,3.7013548387096775,4.433833333333334,4.963677419354839,4.453947368421052,0.0,4.083,3.90713706,0.00012040035479800295,0.010972709546780273,5,train,3.94080042,0.00012021269808699535,0.010964155146977598,5,train
MX03,11.358,1.473,2014,0.0,0.0,272.672,600.561,1024.759,1515.411,2101.591,2613.93,0.0,0.0,0.0,0.083,0.094,0.381,2.037,39.125,78.356,0.0,0.0,0.0,-72.11140740740741,-240.28126666666668,-440.28477419354834,-662.0504333333333,-844.9303225806451,-1024.579153846154,0.0,0.0,0.0,0.003074074074074,0.0003666666666666,0.009258064516129,0.0552,1.1963870967741936,1.5088846153846154,0.0,0.0,0.0,23701538.444444444,27036196.066666663,28809214.129032254,28381183.933333334,25762411.48387097,23732534.46153846,0.0,0.0,0.0,20.098962962962965,20.92963333333333,23.683806451612902,26.35506666666667,28.909032258064517,29.70534615384616,0.0,0.0,0.0,28.001074074074072,29.191633333333336,32.131419354838705,34.223499999999994,35.43545161290323,36.04842307692308,0.0,0.0,0.0,14.052222222222222,14.265266666666667,17.015548387096775,20.82913333333333,24.45222580645161,25.40480769230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,9.0,17.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.672,107.975,176.18666666666664,241.30533333333327,311.578,393.4263333333333,0.0,0.0,0.65175,1.4943333333333335,2.23775,3.0305,3.93075,4.870333333333334,0.0,0.0,0.0,2.265629629629629,1.842566666666667,1.553193548387097,1.5047333333333337,2.9464838709677417,2.9719615384615383,0.0,6.832,6.87487224,0.000376818543162997,0.019411814525257472,5,train,6.81829032,0.0002952798424470047,0.017183708634837962,5,train
MX04,14.258,1.413,2014,0.0,34.021,582.88,1151.807,1697.722,2233.656,2820.267,3387.563,3555.416,0.0,0.47,11.604,39.352,154.463,275.388,328.185,410.164,481.866,0.0,-6.656499999999999,-96.21241935483872,-289.51146666666665,-400.6509032258065,-400.0855,-541.5823548387096,-660.569806451613,-678.1542999999999,0.0,0.235,0.3591612903225806,0.9249333333333332,3.7132580645161286,4.030833333333333,1.7031290322580646,2.644483870967742,7.1702,0.0,17667153.0,20999078.580645163,23091209.6,21004819.22580645,19959436.85,22939765.80645161,22378610.16129032,18697877.85,0.0,27.0105,27.705129032258064,28.964233333333333,27.61016129032258,27.864466666666665,28.92293548387097,28.29987096774193,26.7853,0.0,33.2975,35.394,36.29603333333333,33.59106451612904,33.302366666666664,35.49770967741936,34.91577419354839,32.2568,0.0,21.947,21.479935483870968,22.8247,23.37493548387097,24.21783333333333,24.02054838709677,23.709258064516128,23.378300000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,23.0,7.0,7.0,20.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.81633333333332,294.8403333333333,455.5973333333333,636.598,832.2256666666667,1042.0396666666668,1193.798,0.0,1.67,3.7296666666666662,5.93025,8.97025,11.945,15.0045,17.049,0.0,5.518000000000001,5.136967741935484,4.4562,5.623806451612903,5.795933333333333,4.962677419354838,5.4065161290322585,6.292199999999999,2.745,2.74345764,2.2209250967999993e-05,0.004712669197811363,5,train,2.7722984,4.2801895595000375e-05,0.006542315766989573,5,train
MX05,12.134,1.45,2014,0.0,124.911,351.407,705.173,1117.576,1596.183,2084.981,2335.576,0.0,0.0,4.266,28.058,36.457,77.726,153.987,202.945,238.737,0.0,0.0,-38.44858823529412,-135.88125806451615,-302.8263666666666,-489.208935483871,-651.6579,-776.1265161290323,-890.8831875,0.0,0.0,0.2509411764705882,0.767483870967742,0.2799666666666666,1.331258064516129,2.5420333333333334,1.5792903225806452,2.237,0.0,0.0,19908340.88235294,21905290.90322581,25685886.933333334,25944481.90322581,25109803.5,24957970.25806452,23731185.625,0.0,0.0,17.34770588235294,17.306322580645162,21.7922,23.30332258064516,25.953566666666667,25.76767741935484,25.6621875,0.0,0.0,25.504,24.61135483870968,29.13673333333333,30.424354838709675,32.34883333333333,31.607838709677416,31.5125,0.0,0.0,9.849529411764706,10.465774193548388,14.377966666666667,16.226064516129032,20.003833333333333,20.24254838709677,20.30975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.451,93.93966666666668,182.65,268.77,368.3543333333334,482.572,580.5735,0.0,0.4389999999999999,1.32825,2.39,3.43075,4.7955,6.38075,7.534499999999999,0.0,0.0,3.0808235294117647,3.140677419354839,2.3310000000000004,2.725774193548387,3.1001333333333334,3.1390645161290327,3.11975,0.0,1.88,1.8603179,1.425560139000006e-05,0.0037756590669709655,5,train,1.88299102,3.386379936199974e-05,0.005819261066664714,5,train
MX06,13.658,1.435,2014,0.0,156.827,574.403,1015.842,1484.264,1919.018,2366.263,2574.098,0.0,0.0,0.316,1.627,15.107,128.981,562.301,798.582,936.609,0.0,0.0,-30.07575,-140.4067419354839,-309.07783333333333,-433.7636774193549,-300.74983333333336,-36.10048387096773,16.253733333333344,0.0,0.0,0.0263333333333333,0.0422903225806451,0.4493333333333333,3.673354838709677,14.444,7.621967741935484,9.2018,0.0,0.0,22176551.666666668,24961597.22580645,25571137.866666667,22192475.677419357,19019057.766666666,21729462.741935484,21792675.466666665,0.0,0.0,23.068916666666667,23.470193548387098,24.71463333333333,25.110387096774197,24.4918,24.427258064516128,23.855666666666664,0.0,0.0,31.256416666666667,31.670774193548382,32.30416666666667,31.315483870967743,30.10913333333333,30.20174193548387,29.596466666666668,0.0,0.0,17.531833333333335,17.401709677419355,18.8229,20.428516129032257,21.002466666666667,20.738225806451613,20.3904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.493,119.71166666666666,221.2913333333333,322.421,466.66833333333335,661.369,833.6485,0.0,0.749,2.0812500000000003,3.457333333333333,4.838749999999999,7.1530000000000005,10.1725,12.4335,0.0,0.0,5.335833333333333,4.913741935483871,4.6191,5.1494193548387095,6.613666666666666,7.124774193548387,7.347666666666667,0.0,3.436,3.45484026,9.823919620799949e-05,0.009911568806601682,5,train,3.48437104,8.889875095300368e-05,0.009428613416245448,5,train
MX07,13.185,1.464,2014,0.0,220.472,706.533,1194.059,1659.921,2095.772,2562.308,2637.16,0.0,0.0,4.261,18.885,50.564,276.827,587.161,676.282,688.853,0.0,0.0,-37.489,-142.31235483870967,-297.8693,-324.5178064516129,-129.59060000000002,-111.61754838709678,-161.5078,0.0,0.0,0.2840666666666667,0.471741935483871,1.0559666666666667,7.298806451612903,10.344466666666667,2.8748709677419355,2.5142,0.0,0.0,21056519.2,23148052.83870968,23935921.2,19824325.93548387,19616862.633333333,22615453.677419357,23221147.2,0.0,0.0,24.69813333333333,25.6793870967742,26.250866666666663,25.027806451612904,24.528366666666667,25.04954838709677,24.9704,0.0,0.0,31.7548,32.729290322580646,32.93343333333333,30.37264516129032,29.1861,30.045774193548382,30.3854,0.0,0.0,19.109466666666663,19.92916129032258,20.93843333333333,21.478612903225805,21.4165,21.160709677419355,20.7786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.716,126.97933333333332,249.13566666666668,373.0743333333333,521.9683333333334,696.8966666666666,818.9639999999999,0.0,0.737,2.16925,3.793333333333333,5.6315,8.26625,11.06725,12.794,0.0,0.0,5.825733333333333,5.305870967741935,4.852166666666666,5.965387096774193,6.9315,6.440612903225806,6.0152,0.0,2.142,2.19638328,0.00010697771331700117,0.010343003109203882,5,train,2.2227278,0.00014060703500999718,0.01185778373095062,5,train
MX08,12.3,1.457,2014,0.0,50.526,132.277,297.399,569.807,993.609,1351.487,1471.703,0.0,0.0,0.732,12.225,14.139,17.323999999999998,37.561,112.781,220.333,0.0,0.0,-39.04210526315789,-137.68470967741936,-303.96853333333337,-503.4890322580645,-705.9047666666667,-845.402935483871,-854.3177692307692,0.0,0.0,0.0385263157894736,0.3707419354838709,0.0638,0.1027419354838709,0.6745666666666666,2.4264516129032256,8.273230769230768,0.0,0.0,19783547.57894737,22520133.032258064,26668764.633333333,29097038.0,27312749.73333333,24283780.774193548,20593701.07692308,0.0,0.0,12.647368421052631,12.306193548387098,15.504066666666668,18.78735483870968,24.12673333333333,21.544451612903227,19.24738461538461,0.0,0.0,21.283052631578947,19.84409677419355,23.314433333333334,26.703064516129032,31.503766666666667,28.10658064516129,24.609153846153845,0.0,0.0,4.463052631578948,5.187838709677419,7.6688,10.09332258064516,15.851166666666668,15.633580645161292,15.241923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.4465,66.198,118.65000000000002,175.70366666666666,256.1513333333333,387.41533333333336,534.445,0.0,0.433,1.2075,2.019333333333333,2.84375,3.976,5.6765,7.304,0.0,0.0,2.8552631578947367,2.9182580645161287,2.331166666666667,1.9837096774193548,2.1925666666666666,3.0815806451612904,4.400230769230769,0.0,3.439,3.57625916,0.000822498924722995,0.028679242052798308,5,train,3.58120266,0.0013192527764730032,0.03632151946811977,5,train
MX09,14.612,1.478,2014,0.0,6.308,229.501,474.618,710.934,922.997,1122.357,1326.019,1352.121,0.0,0.055,16.039,44.598,157.29,469.109,669.788,884.6370000000001,916.944,0.0,-4.641,-74.90290322580644,-210.0190333333333,-312.9534516129032,-227.15053333333336,-52.53703225806452,-4.657967741935488,58.38074999999999,0.0,0.055,0.5156129032258064,0.9519666666666668,3.635225806451613,10.393966666666667,6.473516129032258,6.930612903225806,8.07675,0.0,23737344.0,24122498.322580647,24090925.53333333,22680322.612903222,20897875.4,22385470.54838709,22357733.93548387,17915321.25,0.0,16.308,17.199774193548386,18.170566666666662,17.62309677419355,17.068766666666665,16.430967741935483,16.569741935483872,16.5255,0.0,24.95,24.96603225806452,25.56083333333333,24.319870967741934,22.357033333333334,22.144645161290324,22.251161290322575,20.80375,0.0,7.751,9.464806451612905,10.837133333333332,11.647870967741936,12.823233333333333,12.048806451612904,12.119225806451611,13.51525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.14566666666667,98.973,165.61266666666666,265.022,411.4963333333333,574.6806666666666,678.824,0.0,0.7229999999999999,1.8156666666666668,2.97075,4.614333333333334,6.69725,8.773333333333333,0.0,0.0,6.788,6.463451612903225,6.059366666666667,6.264709677419355,7.1615,8.231548387096774,8.285451612903225,8.343250000000001,1.957,1.9935696200000002,3.800083444199964e-05,0.006164481684780939,5,train,2.02503922,2.105938464199898e-05,0.004589050516392142,5,train
MX10,14.562,1.551,2014,0.0,78.014,256.398,509.673,822.432,1195.4,1505.241,1658.315,0.0,0.0,0.072,5.819,7.182,17.441,88.681,214.462,292.921,0.0,0.0,-33.45814285714285,-142.38187096774192,-324.31356666666665,-512.5768387096774,-673.0432666666667,-707.589870967742,-736.686125,0.0,0.0,0.0051428571428571,0.1853870967741935,0.0454333333333333,0.3309354838709678,2.3746666666666667,4.057451612903226,4.9036875,0.0,0.0,21897712.285714287,24396540.90322581,27287854.6,26476187.16129032,25192994.066666663,23646743.16129032,22665692.125,0.0,0.0,15.572428571428572,15.747290322580644,18.4425,20.089,22.432266666666667,19.99487096774193,19.567125,0.0,0.0,24.356,24.484161290322582,26.858666666666668,27.89835483870968,29.25336666666667,26.208838709677416,25.747125,0.0,0.0,7.1997857142857145,7.964483870967742,10.406866666666668,12.51958064516129,15.771833333333332,14.717225806451612,14.8069375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.379,59.604666666666674,121.84166666666668,184.8643333333333,255.6013333333333,358.862,478.3305,0.0,0.3895,1.18375,2.1243333333333334,3.0555000000000003,4.157,5.6545000000000005,7.141,0.0,0.0,3.3097857142857143,3.181193548387097,2.776366666666666,2.6684516129032256,3.2010666666666667,3.9443225806451614,4.1651875,0.0,3.567,3.5677893,7.854175210499998e-05,0.008862378467713957,5,train,3.57452096,6.516441914299839e-05,0.008072448150530197,5,train
MX11,14.064,1.574,2014,0.0,84.572,370.928,700.774,1019.937,1328.543,1605.973,1839.47,0.0,0.0,0.2249999999999999,6.468,26.4,132.671,313.91,448.18,561.325,0.0,0.0,-24.5092,-127.31554838709678,-293.6576333333333,-417.53170967741937,-444.1215,-371.0313870967742,-401.8191923076923,0.0,0.0,0.0225,0.2013870967741935,0.6644000000000001,3.4280967741935484,6.041300000000001,4.331290322580646,4.351730769230769,0.0,0.0,22305121.4,24741782.451612905,26039023.4,23513090.451612905,22353315.966666665,23338048.83870968,23411008.46153846,0.0,0.0,18.4572,19.237290322580645,20.994866666666667,20.29558064516129,20.286866666666665,18.94935483870968,18.98065384615385,0.0,0.0,26.9167,27.892322580645164,29.457666666666668,27.89622580645161,27.0978,25.61858064516129,25.69073076923077,0.0,0.0,10.3171,10.787903225806453,12.730933333333333,13.89667741935484,15.099066666666666,14.28358064516129,14.093461538461538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.491,119.904,225.97233333333332,310.9503333333333,419.6636666666666,588.0586666666667,794.5746666666668,0.0,0.409,1.41625,2.684,3.8165,5.562250000000001,8.13925,10.556666666666668,0.0,0.0,5.6845,5.200096774193549,4.557,4.771516129032258,5.4653,6.295741935483871,6.468038461538462,0.0,4.792,4.8134083400000005,0.00012288617162299563,0.01108540353902354,5,train,4.79179554,0.00012842715349799515,0.011332570471785965,5,train
