row_index,adm_id,year,feature,feature_role,current_value,high_yield_reference,standardized_gap,model_importance,single_feature_yield_potential,stress_score
0,MX01,2022,mean_cum_cwb2,water_proxy,-33.065769230769234,-24.5092,0.6508752861667194,0.018512518425951374,0.35463106630248653,0.004273070550668568
0,MX01,2022,mean_cum_cwb4,water_proxy,-340.72683333333333,-282.7742666666666,1.7365747293370768,0.01099117668001449,0.21340347551736594,0.0040732320663910155
0,MX01,2022,mean_cum_cwb6,water_proxy,-710.9316,-621.1404666666666,1.2051554740758477,0.048877201222739905,0.06269179326105778,0.0036928366736223646
0,MX01,2022,mean_ssm5,water_proxy,2.823677419354839,2.332322580645161,0.384287408229685,0.05016941597018539,0.11820937824831912,0.0022790147332679687
0,MX01,2022,mean_cum_fpar8,crop_state_indicator,477.99,679.7066666666666,0.9737059959790277,0.013252982224045556,0.1501738427975523,0.0019379195942397815
0,MX01,2022,mean_tmin7,temperature_hazard,14.979548387096774,20.450645161290325,0.6253927049071524,0.015301269967406704,0.20208450755391327,0.00193380780626959
0,MX01,2022,mean_tmin8,temperature_hazard,14.61315789473684,20.9312,0.7193555409300124,0.01035322299391781,0.21621286973077591,0.0016102774175606141
0,MX01,2022,mean_cum_fpar7,crop_state_indicator,371.7706666666666,504.479,0.6948395564196632,0.02238084758816701,0.08589792870055213,0.0013358071252972097
0,MX01,2022,mean_rad7,radiation_hazard,25063050.90322581,22878485.870967746,0.825736050942334,0.006126533868136411,0.18257190132492696,0.0009236129701129005
0,MX01,2022,mean_cum_cwb5,water_proxy,-530.2850967741936,-457.6238064516129,1.7043979899832111,0.016819930163784986,0.029280555555554866,0.0008394107257533497
0,MX01,2022,bulk_density,fixed_context,1.583,1.49,1.0449438202247192,0.01197955917879103,0.06082341369060984,0.000761385444830738
0,MX01,2022,mean_tmin3,temperature_hazard,9.115354838709678,12.033548387096776,0.8927110657258078,0.006574836445749871,0.09094948759490196,0.0005338215828037073
0,MX01,2022,awc,fixed_context,13.644,14.064,0.22544283413848634,0.01819501252471412,0.11926808865361904,0.0004892299699825826
0,MX01,2022,mean_cum_ndvi8,crop_state_indicator,6.766500000000001,9.655666666666669,1.0119082365302676,0.0037699681995693895,0.12626535402629813,0.0004816848849054486
0,MX01,2022,mean_cum_ndvi3,crop_state_indicator,1.1705,1.45325,0.32416165090283733,0.008132931321550792,0.1575911312159004,0.00041547080682999575
0,MX01,2022,mean_cum_cwb3,water_proxy,-152.75125806451612,-120.41067741935484,1.0452916116682198,0.005589080049943403,0.06669143486538953,0.0003896259341051563
0,MX01,2022,mean_cum_ndvi2,crop_state_indicator,0.403,0.4865,0.2448680351906157,0.006974288186143435,0.18131851595661796,0.00030965217960235355
0,MX01,2022,mean_cum_fpar5,crop_state_indicator,204.61866666666663,265.12,0.4398273685332869,0.022130006534103467,0.031767132980428325,0.0003092016574822847
