adm_id,awc,bulk_density,year,max_cum_gdd1,max_cum_gdd2,max_cum_gdd3,max_cum_gdd4,max_cum_gdd5,max_cum_gdd6,max_cum_gdd7,max_cum_gdd8,max_cum_gdd12,max_cum_prec1,max_cum_prec2,max_cum_prec3,max_cum_prec4,max_cum_prec5,max_cum_prec6,max_cum_prec7,max_cum_prec8,max_cum_prec12,mean_cum_cwb1,mean_cum_cwb2,mean_cum_cwb3,mean_cum_cwb4,mean_cum_cwb5,mean_cum_cwb6,mean_cum_cwb7,mean_cum_cwb8,mean_cum_cwb12,mean_prec1,mean_prec2,mean_prec3,mean_prec4,mean_prec5,mean_prec6,mean_prec7,mean_prec8,mean_prec12,mean_rad1,mean_rad2,mean_rad3,mean_rad4,mean_rad5,mean_rad6,mean_rad7,mean_rad8,mean_rad12,mean_tavg1,mean_tavg2,mean_tavg3,mean_tavg4,mean_tavg5,mean_tavg6,mean_tavg7,mean_tavg8,mean_tavg12,mean_tmax1,mean_tmax2,mean_tmax3,mean_tmax4,mean_tmax5,mean_tmax6,mean_tmax7,mean_tmax8,mean_tmax12,mean_tmin1,mean_tmin2,mean_tmin3,mean_tmin4,mean_tmin5,mean_tmin6,mean_tmin7,mean_tmin8,mean_tmin12,tmin<-2p1,tmin<-2p2,tmin<-2p3,tmin<-2p4,tmin<-2p5,tmin<-2p6,tmin<-2p7,tmin<-2p8,tmin<-2p12,tmax>33p1,tmax>33p2,tmax>33p3,tmax>33p4,tmax>33p5,tmax>33p6,tmax>33p7,tmax>33p8,tmax>33p12,prec<2p1,prec<2p2,prec<2p3,prec<2p4,prec<2p5,prec<2p6,prec<2p7,prec<2p8,prec<2p12,median_cum_fpar1,median_cum_fpar2,median_cum_fpar3,median_cum_fpar4,median_cum_fpar5,median_cum_fpar6,median_cum_fpar7,median_cum_fpar8,median_cum_ndvi1,median_cum_ndvi2,median_cum_ndvi3,median_cum_ndvi4,median_cum_ndvi5,median_cum_ndvi6,median_cum_ndvi7,median_cum_ndvi8,max_ssm1,max_ssm2,max_ssm3,max_ssm4,max_ssm5,max_ssm6,max_ssm7,max_ssm8,max_ssm12,yield,stage2_tabpfn_base_prediction,stage2_tabpfn_base_prediction_variance,stage2_tabpfn_base_prediction_std,stage2_tabpfn_base_n_repeats,stage2_tabpfn_base_split,stage2_tabpfn_cn_finetuned_prediction,stage2_tabpfn_cn_finetuned_prediction_variance,stage2_tabpfn_cn_finetuned_prediction_std,stage2_tabpfn_cn_finetuned_n_repeats,stage2_tabpfn_cn_finetuned_split
PT15,14.07,1.483,2003,0.0,38.553,163.623,305.343,569.385,900.068,1266.969,1384.335,0.0,0.0,75.17,147.86,224.613,237.204,239.325,240.569,240.791,0.0,0.0,6.542550000000001,18.15690322580645,21.92896666666667,-48.29290322580644,-208.98416666666665,-377.3279677419355,-490.4687142857143,0.0,0.0,3.7585,2.3448387096774197,2.5584333333333333,0.4061612903225806,0.0707,0.0401290322580645,0.0317142857142857,0.0,0.0,11640616.65,15687592.14516129,20047905.966666665,26560987.612903222,27711234.8,28007118.70967742,26050915.42857143,0.0,0.0,11.8612,14.03451612903226,14.723999999999998,18.517483870967745,21.022766666666666,21.835516129032257,26.76657142857143,0.0,0.0,14.8084,17.203516129032256,17.729733333333336,22.95629032258065,25.04663333333333,26.45716129032258,31.191,0.0,0.0,9.16095,11.042516129032258,11.829133333333337,14.298064516129031,17.309199999999997,17.77738709677419,22.25542857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,13.0,22.0,23.0,29.0,30.0,31.0,7.0,0.0,0.0,88.074,229.945,396.85,554.472,689.472,812.418,893.3100000000001,0.0,1.202,3.3085,5.372999999999999,7.263,9.108,10.7985,11.801,0.0,7.225,7.477,7.26,6.873,5.773,5.237,4.498,0.0,5.562,5.78500326,0.0002908365457879893,0.017053930508477783,5,train,5.90050914,0.0007180651030979971,0.026796736799431328,5,train
PT17,16.711,1.353,2003,0.0,20.501999999999995,131.476,266.848,543.203,893.095,1276.173,1408.339,0.0,0.0,81.882,139.944,216.658,218.517,226.683,233.96,234.759,0.0,0.0,10.952666666666667,30.537645161290325,18.9433,-64.42299999999999,-243.10416666666663,-409.6641935483871,-530.7415714285714,0.0,0.0,3.8991428571428575,1.872967741935484,2.5571333333333333,0.0599677419354838,0.2722,0.2347419354838709,0.1141428571428571,0.0,0.0,10152135.904761905,14854830.306451611,18620434.28333333,27026894.16129032,26764374.466666665,26742324.83870968,26107278.0,0.0,0.0,10.605571428571428,13.579806451612903,14.5124,18.91467741935484,21.66306666666667,22.357354838709675,28.880857142857145,0.0,0.0,14.509333333333334,18.41616129032258,19.052200000000003,25.438741935483872,28.0713,29.03541935483871,36.74585714285714,0.0,0.0,6.897666666666667,9.187806451612904,10.2682,12.942870967741936,15.947466666666664,16.59116129032258,20.95357142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,6.0,0.0,0.0,13.0,24.0,21.0,31.0,29.0,30.0,7.0,0.0,0.0,73.96350000000001,193.518,330.46,455.463,565.294,685.945,777.583,0.0,1.054,2.7895000000000003,4.676,6.274,7.787,9.4025,10.433,0.0,5.693,5.728,5.739,4.578,4.061,3.752,3.116,0.0,9.58,9.6004322,0.00012574025469999284,0.01121339621613331,5,train,9.5959828,0.00016352882720000494,0.012787839035583962,5,train
PT18,14.978,1.496,2003,0.0,17.238999999999997,125.424,258.386,547.537,921.345,1324.232,1404.991,0.0,0.0,88.48,155.858,223.654,227.681,235.363,241.421,243.087,0.0,0.0,7.957884615384614,32.096709677419355,24.43283333333333,-64.07832258064516,-241.3981333333333,-414.28712903225806,-525.0,0.0,0.0,3.4030769230769238,2.173483870967742,2.2598666666666665,0.1299032258064515,0.2560666666666666,0.1954193548387096,0.4165,0.0,0.0,9723717.25,14651394.935483873,18313332.716666665,26629051.35483871,26892379.6,27105652.967741936,26152792.0,0.0,0.0,10.074692307692308,13.48983870967742,14.432066666666666,19.327451612903225,22.460266666666666,22.996354838709674,30.18975,0.0,0.0,14.34596153846154,18.607225806451613,19.35526666666667,26.103,29.317933333333333,30.01593548387097,38.82975,0.0,0.0,6.244461538461538,8.88125806451613,9.780966666666666,12.78064516129032,16.127066666666668,16.623451612903224,22.12875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,4.0,4.0,0.0,0.0,17.0,24.0,22.0,31.0,29.0,29.0,4.0,0.0,0.0,67.3675,177.784,308.037,430.604,550.873,690.0219999999999,788.036,0.0,1.095,2.932,4.798,6.535,8.201,9.9905,0.0,0.0,6.467,6.547,6.387,5.615,4.877,4.498,3.594,0.0,8.928,9.020089,0.0003829125434999962,0.019568151254014676,5,train,9.0190963,0.0006659870331999886,0.025806724573257812,5,train
PT11,15.187,1.25,2004,37.736,64.904,89.299,166.5,339.245,657.378,721.818,0.0,3.9410000000000007,142.46699999999998,167.725,259.756,342.456,394.29,420.524,434.206,0.0,4.796,43.52832258064516,98.41924137931034,105.7816129032258,121.04586666666664,79.43106451612903,-31.74126666666667,-105.062875,0.0,2.496,4.441,0.8709655172413793,2.9687419354838718,2.756666666666667,1.6720645161290322,0.8744666666666666,1.71025,0.0,2.398,5637202.983870967,11479928.76724138,14587161.685483873,20899160.33333333,22474442.532258064,26529544.5,26269530.0,0.0,2463702.219,9.94832258064516,9.458034482758622,10.191225806451612,12.478433333333331,15.57241935483871,20.604433333333336,18.055,0.0,11.9705,13.16125806451613,13.84751724137931,14.29832258064516,17.012933333333333,19.78974193548387,25.185366666666667,22.659875,0.0,13.729,6.7824193548387095,5.908931034482759,6.196516129032259,7.890533333333334,11.262032258064515,16.0951,13.761125,0.0,10.2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,24.0,23.0,23.0,22.0,26.0,7.0,0.0,0.0,125.329,316.434,504.909,687.064,849.021,1006.824,1126.633,0.0,1.669,4.28,6.7425,9.202,11.206,13.1855,14.746,0.0,6.835,6.534,6.532,6.299,5.957,5.18,4.8,0.0,6.156,3.261,3.23394044,1.3379223052999714e-05,0.0036577620279345286,5,train,3.26627876,8.754087753000614e-06,0.0029587307672379747,5,train
PT15,14.07,1.483,2004,0.0,33.089,123.628,269.135,468.971,838.793,1240.508,1316.873,0.0,0.0,82.356,117.272,137.474,175.603,175.897,175.927,176.025,0.0,0.0,9.29004761904762,19.454806451612903,-45.4247,-128.88206451612902,-272.4389,-461.34487096774194,-574.3116666666666,0.0,0.0,3.921714285714285,1.126322580645161,0.6733999999999999,1.2299677419354835,0.0098,0.0009677419354838,0.0163333333333333,0.0,0.0,12090956.023809524,17511803.93548387,22855040.866666667,23181551.241935484,28313035.73333333,28649472.83870968,26398867.0,0.0,0.0,11.556142857142856,12.868612903225808,14.850233333333334,16.446322580645163,22.3274,22.958548387096776,22.727500000000003,0.0,0.0,14.583619047619049,16.524290322580647,18.81116666666667,19.96351612903226,26.991866666666667,27.699935483870966,26.981166666666667,0.0,0.0,8.848095238095238,9.45516129032258,11.044066666666668,13.348806451612903,18.14943333333333,18.79206451612903,19.245166666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,15.0,26.0,28.0,24.0,30.0,31.0,6.0,0.0,0.0,92.6555,244.217,416.392,566.824,694.013,810.364,885.837,0.0,1.233,3.2745,5.5645,7.292,8.7485,10.232,11.148,0.0,7.017,6.388,6.358,6.53,5.157,4.37,4.237,0.0,5.874,5.94776984,0.0003099001211480061,0.017603980264360844,5,train,6.0115563000000005,0.0006853798506950091,0.026179760325392765,5,train
PT16,15.134,1.382,2004,14.459,47.055,83.789,182.023,377.235,722.642,940.194,0.0,0.0,75.894,114.503,168.642,219.371,267.961,277.709,282.018,0.0,0.0,7.092062500000001,47.70437931034483,41.39832258064516,14.3963,-51.77106451612903,-177.9965,-307.0334285714286,0.0,0.0,4.743375,1.331344827586207,1.7464193548387097,1.6909666666666667,1.5674193548387096,0.3249333333333333,0.2051904761904762,0.0,0.0,7081404.890625,11269603.77586207,15387478.951612905,21011779.15,22894841.90322581,26769898.73333333,26640766.38095238,0.0,0.0,9.6046875,10.10693103448276,10.851225806451612,13.237666666666666,16.29716129032258,21.51356666666667,20.35961904761905,0.0,0.0,13.4014375,14.603689655172412,15.488838709677418,18.218966666666667,20.912387096774196,27.0933,25.955,0.0,0.0,5.9513125,6.502551724137931,6.410935483870968,8.3417,11.682,16.3436,15.253904761904762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,22.0,26.0,24.0,24.0,28.0,20.0,0.0,0.0,55.8,166.428,324.529,470.928,603.886,742.691,910.967,0.0,0.9415,2.7515,4.9905,7.159000000000001,8.937,10.7395,12.666,0.0,5.966,5.395,5.443,5.33,4.915,4.088,3.721,0.0,0.0,4.356,4.4468117199999995,0.0004817278134270027,0.021948298645384855,5,train,4.51714738,0.0011347490991219934,0.03368603715372281,5,train
PT17,16.711,1.353,2004,0.0,10.898,77.538,217.0,453.527,848.91,1263.182,1342.034,0.0,0.0,34.161,75.799,97.111,119.493,121.526,122.051,122.769,0.0,0.0,-8.503045454545456,-28.945580645161293,-84.93263333333334,-190.6346774193549,-355.1091,-556.3078064516129,-674.8695,0.0,0.0,1.5527727272727274,1.3431612903225807,0.7103999999999999,0.7220000000000001,0.0677666666666666,0.0169354838709677,0.1196666666666666,0.0,0.0,11747358.590909092,16597001.564516127,21896524.78333333,24221511.22580645,27714186.466666665,28222911.096774194,26146383.0,0.0,0.0,9.925545454545455,11.95232258064516,14.648733333333332,17.62990322580645,23.179433333333336,23.363612903225803,23.142,0.0,0.0,14.451772727272727,16.96,20.406466666666667,23.27332258064516,30.383733333333332,30.55135483870968,29.621,0.0,0.0,6.207999999999999,7.521096774193548,9.208966666666669,12.390612903225806,16.873633333333334,17.207354838709676,17.675333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,0.0,0.0,0.0,19.0,27.0,27.0,26.0,30.0,31.0,6.0,0.0,0.0,81.247,210.334,351.577,472.529,585.1659999999999,713.83,805.471,0.0,1.117,2.915,4.907,6.408,7.752000000000001,9.3375,10.351,0.0,5.581,5.042,5.159,4.673,3.642,3.181,3.462,0.0,9.996,10.051033,0.00025493500750000607,0.015966684298877022,5,train,10.0411748,0.00020289240320002055,0.014244030440855584,5,train
PT18,14.978,1.496,2004,0.0,25.433,87.13900000000001,222.639,453.939,875.092,1315.587,1357.11,0.0,0.0,44.868,85.55799999999999,108.684,147.198,149.022,149.599,150.226,0.0,0.0,-11.305259259259255,-23.88554838709677,-76.9828,-171.83270967741936,-324.88506666666666,-526.3250967741935,-638.182,0.0,0.0,1.6617777777777778,1.3125806451612902,0.7708666666666667,1.2423870967741937,0.0607999999999999,0.0186129032258064,0.209,0.0,0.0,11665515.666666666,16276691.741935484,21410516.266666666,23093879.90322581,27589717.33333333,28294516.19354839,25304624.666666668,0.0,0.0,10.27488888888889,11.764548387096776,14.516666666666667,17.461290322580645,24.038433333333334,24.20951612903226,23.841,0.0,0.0,15.286074074074074,17.033096774193545,20.53813333333333,23.07535483870968,31.52423333333333,31.68403225806452,30.72066666666667,0.0,0.0,6.329814814814815,6.956645161290322,8.763933333333334,12.161677419354838,17.26813333333333,17.438709677419357,18.253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0,1.0,0.0,0.0,22.0,27.0,28.0,25.0,30.0,31.0,3.0,0.0,0.0,75.614,198.445,337.624,462.549,587.905,730.007,824.793,0.0,1.145,3.045,5.141500000000001,6.733,8.2045,9.9475,0.0,0.0,6.105,5.752,5.805,5.474,4.514,3.715,3.792,0.0,9.355,9.386148600000002,0.0004851997447999829,0.022027250050788975,5,train,9.3758618,0.00040825320470001293,0.020205276654874413,5,train
PT11,15.187,1.25,2005,5.498000000000001,5.498000000000001,72.657,152.058,314.637,614.783,716.788,0.0,0.0,22.526,33.335,174.374,258.623,357.906,401.893,401.918,0.0,0.0,-3.883677419354839,-35.34746428571429,-53.026387096774194,18.486766666666664,27.402677419354838,-64.1562,-127.14166666666668,0.0,-1.4220000000000002,0.7266451612903225,0.3860357142857142,4.549645161290322,2.8083,3.202677419354839,1.4662333333333335,0.0027777777777777,0.0,0.0,8339264.760064516,12974715.55357143,14523963.887096774,18714357.7,23345133.677419357,25936203.266666666,28913121.55555556,0.0,8224022.25,7.769225806451613,6.820821428571429,11.016612903225806,12.578833333333334,15.244483870967745,20.004866666666665,21.33388888888889,0.0,8.5445,12.30358064516129,11.962035714285715,15.631064516129031,16.457633333333334,19.27596774193548,24.543766666666667,26.73522222222222,0.0,13.867,4.328387096774194,2.545321428571429,6.770774193548387,8.7384,11.090387096774194,15.543666666666669,16.019,0.0,5.0095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,26.0,20.0,17.0,21.0,27.0,9.0,0.0,2.0,120.493,304.969,483.25,658.496,817.681,971.967,1089.543,0.0,1.5995,4.055,6.3825,8.566,10.4825,12.67,14.209,0.0,5.867,5.724,6.308,6.006,6.076,5.212,4.749,0.0,5.454,2.77,2.79389356,9.931688746300042e-05,0.009965785842722109,5,train,2.82866666,0.00011702015465799972,0.010817585435669077,5,train
PT15,14.07,1.483,2005,0.0,14.692,129.84,295.271,545.361,899.914,1278.337,1380.595,0.0,0.0,21.499,53.751,58.617,79.181,80.477,82.4,82.46900000000001,0.0,0.0,-25.66955,-55.47193548387097,-131.8492666666667,-251.6052258064516,-402.6777,-577.3275806451612,-684.4704285714286,0.0,0.0,1.07495,1.0403870967741935,0.1621999999999999,0.6633548387096774,0.0432,0.0620322580645161,0.0098571428571428,0.0,0.0,14200703.425,15434992.70967742,22613620.2,25547832.48387097,27966451.666666668,27952971.22580645,27117849.42857143,0.0,0.0,10.3159,13.45883870967742,15.514366666666666,18.067419354838712,21.81843333333333,22.207193548387096,24.60828571428572,0.0,0.0,14.792750000000002,16.831870967741935,19.4191,22.12858064516129,25.943766666666665,26.6328064516129,29.643714285714285,0.0,0.0,6.42065,10.305387096774194,11.828666666666669,14.374967741935484,17.9776,18.39548387096774,20.171142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,25.0,30.0,26.0,30.0,31.0,7.0,0.0,0.0,73.9865,191.581,329.662,453.892,560.23,662.541,730.136,0.0,0.994,2.757,4.4190000000000005,5.807,7.2625,8.6175,9.455,0.0,6.262,5.945,5.489,5.49,4.836,4.409,3.723,0.0,6.345,6.3339608,2.7777735785000953e-05,0.005270458783161192,5,train,6.38630398,5.348164251200337e-05,0.007313114419452452,5,train
