adm_id,year,feature,feature_role,from_value,to_value,predicted_increment
PT11,2020,max_ssm5,water_proxy,6.656,6.494249999999999,0.030697222222221487
PT11,2020,prec<2p5,water_proxy,22.0,23.75,0.017707222222222985
PT11,2020,mean_prec6,water_proxy,1.2566,1.7498999999999998,0.0073955555555556
PT11,2020,mean_prec5,water_proxy,2.698483870967741,2.3070403225806446,0.002760555555555655
PT15,2020,max_ssm5,water_proxy,6.487,6.284000000000001,0.22103666666666832
PT15,2020,max_ssm6,water_proxy,5.686,5.5280000000000005,0.11835555555555288
PT15,2020,prec<2p8,water_proxy,6.0,6.5,0.009081666666666877
PT16,2020,max_ssm2,water_proxy,5.362,5.5485,0.11082111111110748
PT16,2020,prec<2p1,water_proxy,8.0,9.5,0.006078888888890077
PT16,2020,mean_prec2,water_proxy,0.5928620689655172,1.9387256773399013,0.012982777777777343
PT17,2020,mean_cum_cwb6,water_proxy,-248.6509,-314.44228333333336,0.015251111111112436
PT17,2020,mean_cum_cwb5,water_proxy,-113.28767741935484,-161.02053225806452,0.023028888888889654
PT17,2020,mean_prec7,water_proxy,0.0557096774193548,0.1037096774193548,0.0034966666666669255
PT17,2020,prec<2p5,water_proxy,25.0,27.0,0.003578888888888798
PT18,2020,mean_cum_cwb6,water_proxy,-236.77936666666668,-308.28833333333336,0.03605666666666707
PT18,2020,mean_cum_cwb5,water_proxy,-104.00741935483872,-155.1035,0.027689999999997994
PT18,2020,max_ssm5,water_proxy,6.026,5.869,0.002481666666664495
PT18,2020,prec<2p5,water_proxy,24.0,25.5,0.013891111111112409
PT18,2020,prec<2p8,water_proxy,3.0,3.5,0.015805555555552075
